run_timestamp,pattern,topn,snapshot_timestamp,log_files_count,status_checks,connections,overloaded,overloaded_ratio
2025-12-26T00:27:56Z,status,2,2025-12-26T00:27:56Z,1,2,1,0,0.00
2025-12-26T00:28:27Z,status,2,2025-12-26T00:28:26Z,1,2,1,0,0.00
2025-12-26T00:29:10Z,status,2,2025-12-26T00:29:09Z,1,2,1,0,0.00
2025-12-26T07:41:02Z,status,2,2025-12-26T07:41:01Z,1,2,1,0,0.00
2025-12-26T07:42:56Z,status,2,2025-12-26T07:42:55Z,1,2,1,0,0.00
2025-12-26T07:44:02Z,status,2,2025-12-26T07:44:01Z,1,2,1,0,0.00
2025-12-26T07:48:44Z,status,2,2025-12-26T07:48:43Z,1,2,1,0,0.00
2025-12-26T07:49:48Z,status,2,2025-12-26T07:49:47Z,1,2,1,0,0.00
2025-12-26T07:50:26Z,status,2,2025-12-26T07:50:24Z,1,2,1,0,0.00
2025-12-26T07:54:00Z,status,2,2025-12-26T07:53:59Z,1,2,1,0,0.00
2025-12-26T07:54:54Z,status,2,2025-12-26T07:54:53Z,1,2,1,0,0.00
2025-12-26T07:57:56Z,status,2,2025-12-26T07:57:54Z,1,2,1,0,0.00
