guard,ok,fail,unknown,total,window,ok_pct,fail_pct,unknown_pct,current_result,current_len,longest_ok,longest_fail,longest_unknown,delta_ok,delta_fail,delta_unknown,delta_ok_pct,delta_fail_pct,delta_unknown_pct,delta_window
gate,0,0,20,20,20,0.0,0.0,100.0,unknown,20,0,0,20,0,0,10,0.0,0.0,100.0,10
ok_streak,0,0,20,20,20,0.0,0.0,100.0,unknown,20,0,0,20,0,0,10,0.0,0.0,100.0,10
no_regression,0,0,20,20,20,0.0,0.0,100.0,unknown,20,0,0,20,0,0,10,0.0,0.0,100.0,10
