generated_at,suffix,badge_label,badge_state,badge_warn,badge_danger,overloaded_ratio,anomalies_count,guard_gate,guard_ok_streak,guard_no_regression,guard_gate_result,guard_ok_result,guard_no_regression_result
2025-12-25T10:42:52Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T10:48:48Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T10:53:30Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T10:54:02Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T10:54:36Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T11:10:40Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T11:13:24Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T11:17:18Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T11:19:38Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T11:23:36Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T11:24:27Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T11:25:13Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
