run_timestamp,pattern,topn,snapshot_timestamp,log_files_count,status_checks,connections,overloaded,overloaded_ratio
2025-12-25T13:25:16Z,status,2,2025-12-25T13:25:14Z,1,2,1,1,50.00
2025-12-25T13:25:41Z,status,2,2025-12-25T13:25:40Z,1,2,1,1,50.00
2025-12-25T14:04:13Z,status,2,2025-12-25T14:04:12Z,1,2,1,1,50.00
2025-12-25T14:04:27Z,status,2,2025-12-25T14:04:26Z,1,2,1,1,50.00
2025-12-25T14:05:09Z,status,2,2025-12-25T14:05:08Z,1,2,1,1,50.00
2025-12-25T14:06:53Z,status,2,2025-12-25T14:06:52Z,1,2,1,1,50.00
2025-12-25T14:14:56Z,status,2,2025-12-25T14:14:55Z,1,2,1,1,50.00
2025-12-25T14:15:18Z,status,2,2025-12-25T14:15:17Z,1,2,1,1,50.00
2025-12-25T14:15:37Z,status,2,2025-12-25T14:15:36Z,1,2,1,1,50.00
2025-12-25T14:19:37Z,status,2,2025-12-25T14:19:36Z,1,2,1,1,50.00
2025-12-25T14:29:25Z,status,2,2025-12-25T14:29:24Z,1,2,1,1,50.00
2025-12-25T14:38:33Z,status,2,2025-12-25T14:38:32Z,1,2,1,1,50.00
2025-12-25T14:38:57Z,status,2,2025-12-25T14:38:56Z,1,2,1,1,50.00
2025-12-25T14:43:23Z,status,2,2025-12-25T14:43:22Z,1,2,1,1,50.00
2025-12-25T14:47:18Z,status,2,2025-12-25T14:47:16Z,1,2,1,1,50.00
2025-12-25T14:47:38Z,status,2,2025-12-25T14:47:37Z,1,2,1,1,50.00
2025-12-25T14:48:04Z,status,2,2025-12-25T14:48:03Z,1,2,1,1,50.00
2025-12-25T14:51:29Z,status,2,2025-12-25T14:51:28Z,1,2,1,1,50.00
2025-12-25T14:53:22Z,status,2,2025-12-25T14:53:21Z,1,2,1,1,50.00
2025-12-25T14:53:53Z,status,2,2025-12-25T14:53:52Z,1,2,1,1,50.00
2025-12-25T14:55:10Z,status,2,2025-12-25T14:55:09Z,1,2,1,1,50.00
2025-12-25T14:55:32Z,status,2,2025-12-25T14:55:31Z,1,2,1,1,50.00
2025-12-25T15:00:39Z,status,2,2025-12-25T15:00:38Z,1,2,1,1,50.00
2025-12-25T15:01:26Z,status,2,2025-12-25T15:01:25Z,1,2,1,1,50.00
2025-12-25T15:12:27Z,status,2,2025-12-25T15:12:26Z,1,2,1,1,50.00
2025-12-25T15:17:41Z,status,2,2025-12-25T15:17:40Z,1,2,1,1,50.00
2025-12-25T15:24:44Z,status,2,2025-12-25T15:24:43Z,1,2,1,1,50.00
2025-12-25T15:32:25Z,status,2,2025-12-25T15:32:23Z,1,2,1,1,50.00
